MILESTONE EMAIL MATRIX — OUTSOURCED,,,,,,,,,,,,,,,,,,,,,
Service type: outsourced (Sales Progressor internal team manages the file),,,,,,,,,,,,,,,,,,,,,
Email body column = opening sentence + what happened + what next — combined from portal-copy.ts,,,,,,,,,,,,,,,,,,,,,
{address} in subjects is replaced with the property address at send time,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SECTION 1 — SELLER confirms via the client portal (seller-facing steps only),,,,,,,,,,,,,,,,,,,,,
"These are milestones the seller actions themselves (e.g. ID checks complete, forms returned). They tap ""confirm"" in their portal.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Code,Milestone name,Who performs this step,Seller gets email?,Seller: email subject,Seller: email body,Buyer gets email?,Buyer: email subject,Buyer: email body,Agent gets email?,Agent: email subject,Agent: email body,Progressor gets email?,Progressor: email subject,Progressor: email body,Notes / Known issues,,,,,,
PM11,Mortgage offer received,lender,Y,The buyer's mortgage offer has been issued — {address},"Good news on your sale. The buyer has received their formal mortgage offer from their lender. The financing for your sale is now confirmed — a significant step towards exchange. Nothing for you to do. The transaction is moving in the right direction on the buyer's side.",Y,Your mortgage offer has arrived — {address},"Your mortgage is confirmed. Your lender has issued a formal mortgage offer. This confirms the amount they're willing to lend, the interest rate, the term, and any conditions attached. Your solicitor has received a copy and will check it against the property title. Check the offer carefully — confirm the loan amount, rate, and term match what you agreed with your broker or lender. If anything looks wrong, raise it immediately with your broker or lender. Your solicitor will review the conditions and let you know if anything needs addressing.",Y,Buyer's mortgage offer issued — {address},Quick update on {address}. Buyer has received their formal mortgage offer. Financing confirmed.,Y,PM11 complete: Buyer mortgage offer received — {address},Logged on {address}. Purchaser has confirmed mortgage offer received from lender.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM12,Management pack received (buyer side),solicitor,Y,Buyer's solicitor has the management pack — {address},"Quick update on your sale. The management pack has reached the buyer's solicitor. They'll now review the leasehold information alongside the rest of the contract documents. Nothing for you to do right now.",Y,Management pack received — {address},"The leasehold paperwork has arrived. The management pack from the freeholder has been received by your solicitor. They'll now review the service charge accounts, ground rent history, building insurance arrangements, and any planned or recent major works to the building. Your solicitor will raise any concerns from the management pack with the seller's solicitor as part of the enquiries process. We'll let you know if anything needs your attention.",N,,,Y,PM12 complete: Management pack received — {address},Logged on {address}. Buyer's solicitor has confirmed management pack received.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM13,Search results received,solicitor,Y,Buyer's searches are back — {address},"Quick update on your sale. The buyer's solicitor has received the search results. They'll review them alongside the contract pack — search results sometimes prompt enquiries, which is normal. Nothing for you to do right now. We'll let you know if anything from the searches affects progression.",Y,Search results back — {address},"Your searches have come back. The search results have been received from the local authority and other bodies. Your solicitor will now review them carefully — they cover planning permissions, flood risk, drainage, and other factors affecting the property. Most searches come back with nothing of concern. If your solicitor does identify something worth discussing, they'll be in touch. Otherwise, this keeps things moving towards exchange.",Y,Buyer's searches are back — {address},"Quick update on {address}. The buyer's solicitor has received the search results. The progression team will flag if anything in the searches affects progression.",Y,PM13 complete: Search results received — {address},Logged on {address}. Buyer's solicitor has confirmed search results received.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM14,Initial enquiries raised,solicitor,Y,Buyer's solicitor has raised enquiries — {address},"Quick update on your sale. The buyer's solicitor has raised their initial enquiries — questions about the property and the contract pack. This is a normal part of conveyancing. Your solicitor will work through them and may need your input on some points. Nothing for you to do right now unless your solicitor contacts you.",Y,Your solicitor has raised enquiries — {address},"Enquiries are now with the seller's solicitor. Your solicitor has raised their first round of enquiries with the seller's solicitor — questions about the property, the title, and the documents in the contract pack. This is a completely normal and important part of the conveyancing process. The seller's solicitor will work through the questions and reply in due course. Your solicitor will review the replies and let you know if any further questions are needed.",N,,,Y,PM14 complete: Initial enquiries raised — {address},Logged on {address}. Buyer's solicitor has raised initial enquiries with vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM15,Initial replies received,solicitor,Y,Buyer's solicitor has received your replies — {address},"Quick update on your sale. The buyer's solicitor has received the replies from your solicitor. They'll now review the answers. Nothing for you to do right now.",Y,Seller's solicitor has replied to your solicitor's enquiries — {address},"Replies are in from the seller's side. The seller's solicitor has replied to your solicitor's initial enquiries. Your solicitor will now review the answers and assess whether everything has been addressed satisfactorily. Your solicitor may come back with further questions, or they may be satisfied and begin working towards exchange. Either way, we'll keep you posted.",N,,,Y,PM15 complete: Initial replies received — {address},Logged on {address}. Initial enquiry replies received from vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM16,Initial replies reviewed,solicitor,Y,Buyer's solicitor has reviewed the replies — {address},"Quick update on your sale. The buyer's solicitor has reviewed the replies to their initial enquiries. They'll decide whether to come back with further questions or move on to the next stage. Nothing for you to do right now.",Y,Your solicitor has reviewed the seller's replies — {address},"Your solicitor has reviewed the seller's answers. Your solicitor has gone through the replies to their initial enquiries. They're assessing whether all the questions have been answered satisfactorily and whether any further questions are needed. If further questions are needed, your solicitor will raise them. Otherwise, they'll move on to reviewing the remaining legal points before reporting to you and moving towards exchange.",N,,,Y,PM16 complete: Initial replies reviewed — {address},Logged on {address}. Buyer's solicitor has reviewed initial enquiry replies.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM17,Additional enquiries raised,solicitor,Y,Buyer's solicitor has raised further questions — {address},"Quick update on your sale. The buyer's solicitor has raised additional enquiries following their review of the initial replies. This is normal — second rounds of enquiries are common. Your solicitor will work through them and may need your input. Nothing for you to do right now unless your solicitor contacts you.",Y,Your solicitor has raised further questions — {address},"Another round of questions — completely normal. Your solicitor has raised a further round of enquiries with the seller's solicitor. Most transactions go through at least two rounds of questions before everything is resolved — this doesn't indicate a problem. The seller's solicitor will work through the additional questions and reply. Your solicitor will then review and let you know if all points have been resolved.",N,,,Y,PM17 complete: Additional enquiries raised — {address},Logged on {address}. Buyer's solicitor has raised additional enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM18,Additional replies received,solicitor,Y,Buyer's solicitor has received the further replies — {address},"Quick update on your sale. The buyer's solicitor has received the additional replies from your solicitor. They'll now review the answers. Nothing for you to do right now.",Y,Further replies received from the seller's solicitor — {address},"Replies to the further questions are in. The seller's solicitor has replied to your solicitor's additional enquiries. Your solicitor will now review the answers. Your solicitor will assess whether all points have now been addressed. If they're satisfied, they'll move towards preparing their final report to you.",N,,,Y,PM18 complete: Additional replies received — {address},Logged on {address}. Additional enquiry replies received from vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM19,Additional replies reviewed,solicitor,Y,Buyer's solicitor has reviewed the further replies — {address},"Quick update on your sale. The buyer's solicitor has reviewed the additional replies. They'll decide whether all points are now resolved or whether further enquiries are needed. Nothing for you to do right now.",Y,Your solicitor has reviewed all replies — {address},"Your solicitor has worked through everything. Your solicitor has reviewed all of the seller's replies and is working through the final legal points. They're assessing whether everything has been addressed to their satisfaction. If your solicitor is satisfied, they'll send you their final report and confirm they're ready to exchange.",N,,,Y,PM19 complete: Additional replies reviewed — {address},Logged on {address}. Buyer's solicitor has reviewed all outstanding enquiry replies.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM20,All enquiries satisfied,solicitor,Y,All legal questions answered — {address},"A significant milestone on your sale. All of the legal questions raised by the buyer's solicitor have now been answered to their satisfaction. This is one of the last major legal steps before exchange of contracts. The next step on the buyer's side is their final report from their solicitor and signing the contract. We'll keep you updated.",Y,All legal questions resolved — moving towards exchange — {address},"A significant milestone on your purchase. All of the legal questions about the property have been answered to your solicitor's satisfaction. This is one of the last major legal steps before exchange of contracts. Your solicitor will now prepare their final report to you, which summarises the property, the title, the search results, and any conditions on your mortgage. Once you've received and reviewed that, you'll be ready to sign the contract and exchange.",Y,All legal enquiries satisfied — {address},"Quick update on {address}. All enquiries from the buyer's solicitor have been satisfied. One of the last major legal steps before exchange. The progression team will move on to final report and contract signing.",Y,PM20 complete: All enquiries satisfied — {address},Logged on {address}. Buyer's solicitor has confirmed all enquiries satisfied.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM21,Final report received from solicitor,you,Y,Buyer has their final legal report — {address},"Quick update on your sale. The buyer has received their final report from their solicitor — the document that summarises the property, the title, the search results, and the answers to all enquiries. This is one of the final reading-up steps before the buyer signs their contract. Nothing for you to do right now.",Y,Your solicitor's final report is ready — {address},"Your solicitor's final report has arrived. Your solicitor has sent you their final report — a comprehensive summary of everything about the property: the title, the search results, the replies to enquiries, and any conditions attached to your mortgage offer. This is the document you need to review before signing the contract. Read the report carefully and raise any questions with your solicitor. Once you're happy, your solicitor will send you the contract to sign.",N,,(Agent not notified in client-portal-confirm flow),Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM22,Contract documents issued to buyer,solicitor,Y,Buyer has received their contract — {address},"Good news on your sale. The buyer has received their final contract documents from their solicitor for signing. Once they sign and return them, the buyer's side will be contract-ready. Nothing for you to do right now — we'll let you know once the buyer has signed.",Y,Your contract is ready to sign — {address},"Your contract documents have arrived. Your solicitor has sent you the contract documents to review and sign. You're now moving towards exchange of contracts. Read the contract carefully. Check the purchase price, the proposed completion date, and the list of fixtures and fittings included in the sale. Your solicitor will explain exactly what signing means and what you're committing to — exchange is the legally binding moment. Once you're happy, sign and return it.",N,,(Agent not notified in client-portal-confirm flow),Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM23,Sign and return contract documents,you,Y,Buyer has signed the contract — {address},"A significant step on your sale. The buyer has signed and returned their contract documents to their solicitor. Both sides need signed contracts in their solicitors' hands before exchange can happen. Once your contract is also signed and returned, exchange can be coordinated.",Y,Signed contract received — ready for exchange — {address},"Your signed contract is with your solicitor. Your solicitor has received your signed contract documents and is holding them ready for exchange. They will have explained what signing means — the legally binding moment is exchange, not this step. Make sure your deposit is on its way to your solicitor's client account if it isn't already — it needs to be there as cleared funds before exchange can happen.",Y,Buyer has signed contracts — {address},"Quick update on {address}. The buyer has signed and returned their contract documents. Buyer side is contract-ready. The progression team is coordinating exchange with both solicitors.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM24,Transfer the deposit,you,Y,Buyer's deposit is on its way — {address},"Major update on your sale. The buyer has transferred their deposit to their solicitor in preparation for exchange. This is one of the strongest signals you'll see before exchange itself — it means the buyer is mortgage-ready, contract-ready, and putting funds in place. Your solicitor and the buyer's solicitor will now coordinate exchange. We'll be in touch as soon as it's set.",Y,Deposit received — ready for exchange — {address},"Your deposit is in place. Your solicitor has confirmed receipt of your deposit as cleared funds. This is one of the final requirements before exchange of contracts can take place. Everything is now in place on your side. We're coordinating exchange with the seller's solicitor — you could be exchanging very soon.",Y,Buyer's deposit on its way — {address},"Major update on {address}. The buyer has transferred the deposit to their solicitor. Both sides moving towards exchange — the progression team is coordinating with both solicitors.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM25,Solicitor confirms ready to exchange,solicitor,Y,The buyer's solicitor is ready to exchange — {address},"The buyer's side is ready. The buyer's solicitor has confirmed they're ready to exchange contracts. If your solicitor is also ready, exchange can be coordinated imminently. We'll be coordinating exchange with both solicitors. Make sure you're reachable.",Y,Your solicitor is ready to exchange — {address},"Your solicitor has confirmed they're ready. Your solicitor has everything in place to exchange contracts. They've confirmed to us that they're ready to proceed as soon as the seller's side confirms the same. We're now coordinating with the seller's solicitor to confirm exchange. Make sure you're reachable — exchange can sometimes happen very quickly once both sides are ready.",Y,Buyer's solicitor ready to exchange — {address},Quick update on {address}. Buyer's solicitor has confirmed readiness to exchange. Coordinating with vendor's side.,Y,PM25 complete: Buyer solicitor ready to exchange — {address},Logged on {address}. Buyer's solicitor has confirmed readiness to exchange.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM26,Contracts exchanged,agent,Y,Contracts exchanged — your sale is legally committed — {address},"Contracts have exchanged on your sale. Both solicitors have formally exchanged signed contracts, and your sale is now legally binding. The completion date is fixed — neither side can withdraw without significant financial penalty. Between now and completion, arrange to have everything ready to leave the property by the agreed time on completion day. Your solicitor will manage the legal transfer of funds.",Y,Contracts exchanged — your purchase is legally committed — {address},"Contracts have exchanged on your purchase. Both solicitors have formally exchanged signed contracts, your deposit has been transferred, and your purchase is now legally binding. The completion date is fixed. Now is the time to confirm your removal firm and start planning your move in detail. Buildings insurance: risk in the property usually passes to you on exchange — check with your solicitor whether this applies to your purchase, as for new-builds and many leaseholds the freeholder's policy covers the building. Your solicitor will manage the final transfer of funds on completion day.",Y,Exchange confirmed — {address},"Exchange confirmed on {address}. Contracts have exchanged. Both parties are now legally committed. Completion date is fixed.",Y,PM26 complete: Contracts exchanged — {address},"Exchange confirmed on {address}. Contracts exchanged. Both parties legally committed. Completion date fixed. Reconcile any outstanding milestones and confirm the completion date is recorded.",[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM27,Purchase completed,agent,Y,Completion confirmed on your sale — {address},"Completion confirmed. The purchase of {address} has completed. The property has transferred to the buyer and the transaction is legally concluded.",Y,Purchase complete — welcome to your new home — {address},"Congratulations — it's done. Your purchase has completed. The funds have been transferred, ownership has passed to you, and the keys are yours. Your solicitor will now arrange for your ownership to be registered at HM Land Registry. Keep your completion statement and transfer documents safely for your records — you may need them for future legal or tax purposes. Your solicitor will send confirmation of Land Registry registration once it's been processed, which can take several months.",Y,Completion confirmed — {address},"Completion confirmed on {address}. Purchase completed. Funds transferred, ownership registered. Transaction closed.",Y,PM27 complete: Purchase completed — {address},"Completion confirmed on {address}. Purchase completed. Transaction closed. Reconcile any outstanding milestones and confirm all fees are recorded.",[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SECTION 3 — SALES PROGRESSOR confirms in the app (all milestones — logged on behalf of all parties),,,,,,,,,,,,,,,,,,,,,
"This covers every milestone, including solicitor/agent/lender steps that clients cannot confirm themselves.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
--- VENDOR / SELLER SIDE MILESTONES (VM1–VM20) ---,,,,,,,,,,,,,,,,,,,,,
Code,Milestone name,Who performs this step,Seller gets email?,Seller: email subject,Seller: email body,Buyer gets email?,Buyer: email subject,Buyer: email body,Agent gets email?,Agent: email subject,Agent: email body,Progressor gets email?,Progressor: email subject,Progressor: email body,Notes / Known issues,,,,,,
VM1,Instruct your solicitor,you,Y,You've instructed your solicitor — {address},"You've taken the first step. You've formally instructed your solicitor to act on the sale. They'll now start the conveyancing process on your behalf — preparing the contract pack, gathering title documents, and getting everything ready to send to the buyer's solicitor. If the property is leasehold, your solicitor will also request the management pack from your freeholder or managing agent. Once the contract pack is issued, the buyer's solicitor will review it and may come back with enquiries — at which point your solicitor may need information from you to reply. Nothing for you to do right now. We'll be in touch when there's a meaningful update.",Y,The seller has instructed their solicitor — {address},"Good news on your purchase. The seller has formally instructed their solicitor to act on the sale. This is an important early step — things are now moving on the seller's side of the transaction. Nothing for you to do right now. The seller's solicitor will prepare the contract pack and send it to your solicitor in the coming weeks. We'll let you know when that happens.",Y,Seller's solicitor instructed — {address},"Quick update on {address}. The seller has instructed their solicitor. Conveyancing is now underway on the seller's side. No action needed from you. The progression team will chase the contract pack when appropriate.",Y,VM1 complete: Seller instructed solicitor — {address},Logged on {address}. Vendor has confirmed solicitor instruction.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM2,Receive memorandum of sale,solicitor,Y,Memorandum of sale issued — {address},"The legal process has officially started. The memorandum of sale has been sent to all solicitors, confirming the agreed price and the details of both parties. This is the document that formally kicks off conveyancing. Your solicitor will now begin preparing the contract pack. Returning your solicitor's welcome pack quickly is the single biggest thing you can do this week to keep the transaction moving.",Y,Memorandum of sale issued — {address},"The legal process has officially started. The memorandum of sale has been sent to all solicitors, confirming the agreed purchase price and the details of both parties. Your solicitor now has formal confirmation to proceed. If you haven't already, return your solicitor's welcome pack and complete your ID checks — your solicitor can't get fully started until these are done. If you're buying with a mortgage, also make sure your application is progressing.",Y,MoS confirmed — {address},Quick update on {address}. Memorandum of sale confirmed issued to all solicitors.,Y,VM2 complete: MoS received — {address},Logged on {address}. Memorandum of sale confirmed received by vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM3,Receive welcome pack from solicitor,you,Y,Welcome pack received from your solicitor — {address},"Your solicitor has made contact. Your solicitor has sent you their welcome pack. It contains their terms of business, a property questionnaire, and details of what ID they need from you. Returning this quickly is one of the best things you can do to keep the transaction moving. Complete the forms and return them as soon as you can — ideally within a few days. Your solicitor cannot begin substantive work until these are back with them.",Y,Seller is engaging with their solicitor — {address},"Quick update on your purchase. The seller has received their welcome pack from their solicitor — the kick-off paperwork for conveyancing on their side. Nothing for you to do right now. The seller will return the forms in due course.",N,,,Y,VM3 complete: Seller received welcome pack — {address},Logged on {address}. Vendor has confirmed receipt of solicitor's welcome pack.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM4,Complete ID & AML checks,you,Y,ID checks complete — {address},"You've cleared an important legal requirement. Your identity has been verified and your solicitor has completed the anti-money laundering checks required by law. This clears the way for them to begin substantive work on your behalf. Your solicitor will now continue preparing the contract pack. Worth flagging: if you haven't yet returned your property information forms when you receive them, do so promptly — delays here are one of the main things that slow transactions down.",Y,Seller's ID checks complete — {address},"Good news on your purchase. The seller has completed their ID and anti-money laundering checks. Their solicitor can now begin substantive work on the sale. Nothing for you to do right now — this is one of the early signals that things are moving properly on the seller's side.",N,,,Y,VM4 complete: Seller ID checks done — {address},Logged on {address}. Vendor has confirmed completion of ID and AML verification.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM5,Receive property information forms,you,Y,Property information forms received — {address},"Your solicitor needs information from you. Your solicitor has sent you the property information forms (TA6 and TA10). These ask about the property's history, what's included in the sale, any disputes or planning permissions, and more. The buyer's solicitor will rely on your answers. Complete the forms as thoroughly and accurately as you can — these are legal documents. Return them to your solicitor promptly. If you're unsure about any question, call your solicitor before leaving it blank.",Y,Seller is gathering property information — {address},"Quick update on your purchase. The seller has been sent their property information forms (TA6 and TA10) by their solicitor. These capture details about the property's history, what's included in the sale, and any planning or dispute history. Nothing for you to do right now. The seller will complete and return these to their solicitor in the coming days.",N,,,Y,VM5 complete: Seller received property forms — {address},Logged on {address}. Vendor has confirmed receipt of TA6/TA10 property information forms.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM6,Return completed property forms,you,Y,Property forms returned to your solicitor — {address},"Your forms are back with your solicitor. Your completed property information forms have been received by your solicitor. They'll now incorporate these into the contract pack and send everything to the buyer's solicitor. Your solicitor will issue the draft contract pack to the buyer's solicitor. We'll let you know when that's done.",Y,The seller has returned their property information forms — {address},"Progress on your purchase. The seller has returned their completed property information forms to their solicitor. These will be included in the contract pack that comes to your solicitor. Nothing to do from your side right now. The seller's solicitor will now finalise the contract pack and send it across.",Y,Seller's property forms returned — {address},Quick update on {address}. Seller has returned completed property information forms. Contract pack preparation can now be finalised.,Y,VM6 complete: Seller returned property forms — {address},Logged on {address}. Vendor has confirmed return of completed TA6/TA10 forms to solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM7,Draft contract pack issued,solicitor,Y,Draft contract pack sent to the buyer's solicitor — {address},"A significant step forward. Your solicitor has sent the draft contract pack to the buyer's solicitor. This is the bundle of documents that forms the legal foundation of the sale — the contract itself, your property information forms, title documents, and any relevant certificates. The buyer's solicitor will now review everything carefully and is likely to raise enquiries — questions about the property and the documents. Your solicitor will handle these, though they may need your input on some points.",Y,The contract pack has arrived with your solicitor — {address},"Things are moving on your purchase. The seller's solicitor has sent the contract pack to your solicitor. This is the full bundle of legal documents — the draft contract, title documents, property information forms, and more. Your solicitor will now review everything in detail. Your solicitor will go through the contract pack and raise any questions that need answering. In the meantime, make sure your mortgage application is progressing and any searches have been ordered.",Y,Contract pack issued — {address},Quick update on {address}. Seller's solicitor has issued the draft contract pack to the buyer's solicitor.,Y,VM7 complete: Contract pack issued — {address},Logged on {address}. Vendor solicitor has issued draft contract pack to buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM8,Management pack requested,solicitor,Y,Management pack requested from your freeholder — {address},"Leasehold paperwork is underway. Your solicitor has requested the management pack from your freeholder or managing agent. This pack contains the leasehold information the buyer's solicitor will need — service charge accounts, ground rent history, building insurance, and details of any planned major works. Management packs can take a while — typically several weeks, sometimes longer. Worth noting: freeholders usually charge a fee for providing the pack, which will be deducted from your sale proceeds at completion. We'll let you know as soon as it arrives.",Y,Leasehold information requested — {address},"Quick update on your purchase. The seller's solicitor has requested the management pack from the freeholder or managing agent. This contains the leasehold information your solicitor will need — service charges, ground rent, building insurance, and any planned major works. Management packs sometimes take a few weeks to come back, but this is now in motion. Nothing for you to do right now.",N,,,Y,VM8 complete: Management pack requested — {address},Logged on {address}. Vendor solicitor has requested management pack from freeholder/managing agent.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM9,Management pack received,solicitor,Y,Management pack received — {address},"The leasehold paperwork has arrived. The management pack has been received from your freeholder or managing agent. Your solicitor will now review the leasehold information — service charges, ground rent, building insurance, and any planned works — before sending it to the buyer's solicitor. This is often one of the longer waits in a leasehold transaction, so receiving it is real progress. Your solicitor will incorporate the pack into the contract pack and send it across to the buyer's side.",Y,Management pack received on your purchase — {address},"Good news on the leasehold side. The management pack from the freeholder has arrived and is being reviewed. This contains the leasehold information your solicitor needs — service charges, ground rent, building insurance, and details of any planned major works to the building. Your solicitor will review the management pack carefully and raise any points with the seller's solicitor as part of the enquiries process.",Y,Management pack received — {address},Quick update on {address}. Management pack received from freeholder. Solicitor is reviewing.,Y,VM9 complete: Management pack received — {address},Logged on {address}. Management pack confirmed received by vendor's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM10,Initial enquiries received,solicitor,Y,Buyer's enquiries received — {address},"The buyer's solicitor has questions. The buyer's solicitor has raised their first round of enquiries — questions about the property and the documents in the contract pack. This is a completely normal part of the process. Your solicitor will work through them and may need your input on some points. If your solicitor contacts you asking for information to help answer the enquiries, please respond as quickly as you can. Delays in enquiries are one of the most common reasons transactions slow down.",Y,Your solicitor's questions are with the seller's side — {address},"Quick update on your purchase. Your solicitor's initial enquiries have been received by the seller's solicitor. They'll now work through the questions with the seller. Nothing for you to do right now — your solicitor will let you know when the replies come back.",N,,,Y,VM10 complete: Initial enquiries received — {address},Logged on {address}. Buyer's solicitor has raised initial enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM11,Provide replies to enquiries,you,Y,Action needed: your solicitor needs your help — {address},"Your solicitor needs answers from you. Some of the buyer's enquiries require information that only you can provide. Your solicitor has been in touch to ask for your help in preparing the replies. Please respond to your solicitor as quickly as you can — ideally within 24–48 hours. Delays at this stage are one of the most common reasons transactions stall. The faster you reply, the sooner the enquiries can be resolved.",Y,Seller has answered your solicitor's questions — {address},"Progress on your purchase. The seller has provided their solicitor with the information needed to reply to your solicitor's enquiries. The seller's solicitor will now formally send the replies across. Nothing for you to do right now — your solicitor will let you know once the replies are in their hands.",N,,,Y,VM11 complete: Seller provided enquiry replies — {address},Logged on {address}. Vendor has confirmed they've provided replies to solicitor for initial enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM12,Replies sent to buyer's solicitor,solicitor,Y,Enquiry replies sent to the buyer's solicitor — {address},"Your solicitor has replied to the enquiries. Your solicitor has sent their replies to the buyer's solicitor's initial enquiries. The buyer's solicitor will now review these and may come back with further questions — this is completely normal. There's nothing for you to do right now. If another round of questions arrives, we'll let you know.",Y,The seller has replied to your solicitor's enquiries — {address},"Progress on the enquiries. The seller's solicitor has sent replies to your solicitor's initial enquiries. Your solicitor will now review the answers and decide whether any further questions are needed. Your solicitor will let you know if anything in the replies needs your attention. Otherwise, they'll continue working through the remaining points before you move towards exchange.",Y,Enquiry replies sent — {address},Quick update on {address}. Vendor's solicitor has replied to buyer's initial enquiries.,Y,VM12 complete: Initial replies sent to buyer's solicitor — {address},Logged on {address}. Vendor solicitor has sent initial enquiry replies to buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM13,Additional enquiries received,solicitor,Y,Additional enquiries from the buyer — {address},"Another round of questions — this is completely normal. Two rounds of enquiries is completely normal — most transactions go through at least two before all questions are resolved. Your solicitor will work through these and may need your input on some points. If they need your input on any points, they'll be in touch — please respond as promptly as you can.",Y,Your further questions are with the seller's side — {address},"Quick update on your purchase. The further enquiries your solicitor raised have been received by the seller's solicitor. They'll now work through the additional points with the seller. Nothing for you to do right now.",N,,,Y,VM13 complete: Additional enquiries received — {address},Logged on {address}. Buyer's solicitor has raised additional enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM14,Provide additional replies,you,Y,Action needed: further replies required from you — {address},"Your solicitor needs your help again. The buyer has raised another round of questions, and some of them require your input to answer. Your solicitor has been in touch to ask for your help. Please come back to your solicitor as quickly as you can. Every day of delay at this stage extends the time to exchange.",Y,Seller has answered the further questions — {address},"Progress on your purchase. The seller has provided their solicitor with answers to the additional enquiries your solicitor raised. The seller's solicitor will now send these replies across. Nothing for you to do right now.",N,,,Y,VM14 complete: Seller provided additional replies — {address},Logged on {address}. Vendor has confirmed they've provided replies to solicitor for additional enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM15,Additional replies sent,solicitor,Y,All enquiry replies sent — moving towards exchange — {address},"The enquiries are behind you. Your solicitor has sent replies to all outstanding enquiries from the buyer's solicitor. Both sides are now working towards exchange of contracts. The next steps are your solicitor sending you the contract to sign and confirming they're ready to exchange. We'll be in touch when there's an update.",Y,The seller has replied to all enquiries — {address},"The enquiry stage is winding up. The seller's solicitor has replied to all of your solicitor's enquiries. Your solicitor will now review the additional replies and work through any remaining outstanding points. Once your solicitor is satisfied with all the replies, they'll prepare their final report to you and confirm they're ready to move towards exchange.",Y,All enquiry replies sent — {address},Quick update on {address}. Vendor's solicitor has sent replies to all buyer enquiries. Moving towards exchange.,Y,VM15 complete: Additional replies sent to buyer's solicitor — {address},Logged on {address}. Vendor solicitor has sent additional enquiry replies to buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
